"Australia: projected age structure in 2028"
"Age","Male","Female"
"0","177574","168374"
"1","175402","166399"
"2","172960","164184"
"3","170856","162281"
"4","169011","160582"
"5","166954","158676"
"6","170996","163153"
"7","168810","160501"
"8","167838","159399"
"9","171769","161934"
"10","172174","163060"
"11","175115","165778"
"12","179281","169844"
"13","178150","168039"
"14","179520","170059"
"15","181557","171598"
"16","181102","172485"
"17","181621","172689"
"18","189011","179679"
"19","196859","185119"
"20","203127","190748"
"21","205422","191574"
"22","203827","190541"
"23","205418","190660"
"24","203860","189787"
"25","197355","185687"
"26","194969","184183"
"27","200887","189316"
"28","200870","192050"
"29","194219","189466"
"30","192093","190785"
"31","195351","196187"
"32","200016","201034"
"33","204925","206540"
"34","203921","207805"
"35","203093","209409"
"36","202749","210760"
"37","206252","213779"
"38","206328","213339"
"39","203009","209858"
"40","200195","208003"
"41","199767","205853"
"42","200204","205174"
"43","197750","203356"
"44","195350","199921"
"45","194027","197913"
"46","186923","190863"
"47","180383","185863"
"48","170423","177120"
"49","165667","173085"
"50","160784","167975"
"51","159506","166014"
"52","160540","164539"
"53","161134","166122"
"54","163177","168706"
"55","166345","172782"
"56","171367","179739"
"57","172306","181960"
"58","161649","170170"
"59","159000","168677"
"60","153088","162278"
"61","150247","159063"
"62","149720","158617"
"63","151343","160733"
"64","155056","165131"
"65","156218","166785"
"66","154322","164835"
"67","151313","163113"
"68","144246","156948"
"69","140157","152642"
"70","134683","148259"
"71","129806","142869"
"72","125968","138092"
"73","119573","133438"
"74","114211","128130"
"75","111337","124480"
"76","106148","118975"
"77","102711","115643"
"78","98233","111556"
"79","92811","105737"
"80","90679","102814"
"81","89285","102154"
"82","71501","82370"
"83","64344","76025"
"84","57270","68655"
"85","48054","59266"
"86","44021","54620"
"87","37074","47947"
"88","32286","43132"
"89","27081","38273"
"90","22417","32857"
"91","18265","27905"
"92","14233","23041"
"93","10783","18603"
"94","8179","14557"
"95","6128","11471"
"96","4517","8704"
"97","3387","6747"
"98","2427","4958"
"99","1585","3380"

"Source: Australian Bureau of Statistics, Population clock and pyramid"
